Block size, Scaling factor bitwidth, Quantisation bitwidth, Mean EVM, Compression rate
96,16,9,109.811866,1.745455
96,16,10,27.360318,1.573770
96,16,11,6.824787,1.432836
96,16,12,1.705840,1.315068
96,16,13,0.427091,1.215190
96,16,14,0.106687,1.129412
96,16,15,0.026693,1.054945
96,16,16,0.006673,0.989691
100,8,8,490.157992,1.980198
100,9,8,490.157992,1.977750
100,9,9,109.867575,1.760176
100,10,8,490.157992,1.975309
100,10,9,109.867575,1.758242
100,10,10,27.374827,1.584158
100,11,8,490.157992,1.972873
100,11,9,109.867575,1.756312
100,11,10,27.374827,1.582591
100,11,11,6.826649,1.440144
100,12,8,490.157992,1.970443
100,12,9,109.867575,1.754386
100,12,10,27.374827,1.581028
100,12,11,6.826649,1.438849
100,12,12,1.706379,1.320132
100,13,8,490.157992,1.968020
100,13,9,109.867575,1.752464
100,13,10,27.374827,1.579467
100,13,11,6.826649,1.437556
100,13,12,1.706379,1.319044
100,13,13,0.427236,1.218583
100,14,8,490.157992,1.965602
100,14,9,109.867575,1.750547
100,14,10,27.374827,1.577909
100,14,11,6.826649,1.436266
100,14,12,1.706379,1.317957
100,14,13,0.427236,1.217656
100,14,14,0.106746,1.131542
100,15,8,490.157992,1.963190
100,15,9,109.867575,1.748634
100,15,10,27.374827,1.576355
100,15,11,6.826649,1.434978
100,15,12,1.706379,1.316872
100,15,13,0.427236,1.216730
100,15,14,0.106746,1.130742
100,15,15,0.026702,1.056106
100,16,8,490.157992,1.960784
100,16,9,109.867575,1.746725
100,16,10,27.374827,1.574803
100,16,11,6.826649,1.433692
100,16,12,1.706379,1.315789
100,16,13,0.427236,1.215805
100,16,14,0.106746,1.129944
100,16,15,0.026702,1.055409
100,16,16,0.006675,0.990099
120,8,8,491.375005,1.983471
120,9,8,491.375005,1.981424
120,9,9,110.112994,1.763085
120,10,8,491.375005,1.979381
120,10,9,110.112994,1.761468
120,10,10,27.433753,1.586777
120,11,8,491.375005,1.977343
120,11,9,110.112994,1.759853
120,11,10,27.433753,1.585467
120,11,11,6.843292,1.442524
120,12,8,491.375005,1.975309
120,12,9,110.112994,1.758242
120,12,10,27.433753,1.584158
120,12,11,6.843292,1.441441
120,12,12,1.710372,1.322314
120,13,8,491.375005,1.973279
120,13,9,110.112994,1.756633
120,13,10,27.433753,1.582852
120,13,11,6.843292,1.440360
120,13,12,1.710372,1.321404
120,13,13,0.428211,1.220598
120,14,8,491.375005,1.971253
120,14,9,110.112994,1.755027
120,14,10,27.433753,1.581549
120,14,11,6.843292,1.439280
120,14,12,1.710372,1.320495
120,14,13,0.428211,1.219822
120,14,14,0.106969,1.133412
120,15,8,491.375005,1.969231
120,15,9,110.112994,1.753425
120,15,10,27.433753,1.580247
120,15,11,6.843292,1.438202
120,15,12,1.710372,1.319588
120,15,13,0.428211,1.219048
120,15,14,0.106969,1.132743
120,15,15,0.026763,1.057851
120,16,8,491.375005,1.967213
120,16,9,110.112994,1.751825
120,16,10,27.433753,1.578947
120,16,11,6.843292,1.437126
120,16,12,1.710372,1.318681
120,16,13,0.428211,1.218274
120,16,14,0.106969,1.132075
120,16,15,0.026763,1.057269
120,16,16,0.006689,0.991736
128,8,8,492.210065,1.984496
128,9,8,492.210065,1.982575
128,9,9,110.291019,1.763997
128,10,8,492.210065,1.980658
128,10,9,110.291019,1.762478
128,10,10,27.476599,1.587597
128,11,8,492.210065,1.978744
128,11,9,110.291019,1.760963
128,11,10,27.476599,1.586367
128,11,11,6.853376,1.443270
128,12,8,492.210065,1.976834
128,12,9,110.291019,1.759450
128,12,10,27.476599,1.585139
128,12,11,6.853376,1.442254
128,12,12,1.713036,1.322997
128,13,8,492.210065,1.974928
128,13,9,110.291019,1.757940
128,13,10,27.476599,1.583913
128,13,11,6.853376,1.441239
128,13,12,1.713036,1.322143
128,13,13,0.428885,1.221228
128,14,8,492.210065,1.973025
128,14,9,110.291019,1.756432
128,14,10,27.476599,1.582689
128,14,11,6.853376,1.440225
128,14,12,1.713036,1.321290
128,14,13,0.428885,1.220501
128,14,14,0.107128,1.133998
128,15,8,492.210065,1.971126
128,15,9,110.291019,1.754927
128,15,10,27.476599,1.581467
128,15,11,6.853376,1.439213
128,15,12,1.713036,1.320438
128,15,13,0.428885,1.219774
128,15,14,0.107128,1.133370
128,15,15,0.026800,1.058398
128,16,8,492.210065,1.969231
128,16,9,110.291019,1.753425
128,16,10,27.476599,1.580247
128,16,11,6.853376,1.438202
128,16,12,1.713036,1.319588
128,16,13,0.428885,1.219048
128,16,14,0.107128,1.132743
128,16,15,0.026800,1.057851
128,16,16,0.006700,0.992248
150,8,8,493.846991,1.986755
150,9,8,493.846991,1.985112
150,9,9,110.651278,1.766004
150,10,8,493.846991,1.983471
150,10,9,110.651278,1.764706
150,10,10,27.563105,1.589404
150,11,8,493.846991,1.981833
150,11,9,110.651278,1.763409
150,11,10,27.563105,1.588352
150,11,11,6.873567,1.444913
150,12,8,493.846991,1.980198
150,12,9,110.651278,1.762115
150,12,10,27.563105,1.587302
150,12,11,6.873567,1.444043
150,12,12,1.717454,1.324503
150,13,8,493.846991,1.978566
150,13,9,110.651278,1.760822
150,13,10,27.563105,1.586252
150,13,11,6.873567,1.443175
150,13,12,1.717454,1.323773
150,13,13,0.430152,1.222618
150,14,8,493.846991,1.976936
150,14,9,110.651278,1.759531
150,14,10,27.563105,1.585205
150,14,11,6.873567,1.442308
150,14,12,1.717454,1.323043
150,14,13,0.430152,1.221996
150,14,14,0.107462,1.135289
150,15,8,493.846991,1.975309
150,15,9,110.651278,1.758242
150,15,10,27.563105,1.584158
150,15,11,6.873567,1.441441
150,15,12,1.717454,1.322314
150,15,13,0.430152,1.221374
150,15,14,0.107462,1.134752
150,15,15,0.026886,1.059603
150,16,8,493.846991,1.973684
150,16,9,110.651278,1.756955
150,16,10,27.563105,1.583113
150,16,11,6.873567,1.440576
150,16,12,1.717454,1.321586
150,16,13,0.430152,1.220753
150,16,14,0.107462,1.134216
150,16,15,0.026886,1.059135
150,16,16,0.006721,0.993377
160,8,8,495.196953,1.987578
160,9,8,495.196953,1.986036
160,9,9,110.923589,1.766736
160,10,8,495.196953,1.984496
160,10,9,110.923589,1.765517
160,10,10,27.625739,1.590062
160,11,8,495.196953,1.982959
160,11,9,110.923589,1.764300
160,11,10,27.625739,1.589075
160,11,11,6.889329,1.445511
160,12,8,495.196953,1.981424
160,12,9,110.923589,1.763085
160,12,10,27.625739,1.588089
160,12,11,6.889329,1.444695
160,12,12,1.722230,1.325052
160,13,8,495.196953,1.979892
160,13,9,110.923589,1.761872
160,13,10,27.625739,1.587105
160,13,11,6.889329,1.443880
160,13,12,1.722230,1.324366
160,13,13,0.431281,1.223125
160,14,8,495.196953,1.978362
