9.9650e-02	-2.7090e-01
2.4632e-01	-5.7862e-01
-7.7930e-02	-2.8890e-02
-6.0160e-02	4.6494e-01
6.4210e-02	1.3638e-01
-4.7871e-01	-1.3158e-01
-6.3147e-01	4.6363e-01
3.9657e-01	8.2546e-01
7.4392e-01	4.8710e-02
-3.1511e-01	-5.3231e-01
-3.9207e-01	2.0203e-01
8.3903e-01	8.7482e-01
6.6740e-01	1.2845e-01
-6.3092e-01	-9.3433e-01
-3.7426e-01	-8.4695e-01
3.9959e-01	-7.1470e-02
-5.0608e-01	3.6864e-01
-9.9128e-01	5.8333e-01
5.7601e-01	9.5910e-01
1.0330e+00	1.1098e+00
-8.8898e-01	6.1100e-01
-1.4873e+00	-1.4021e-01
2.4194e-01	-4.7295e-01
8.0594e-01	-3.4660e-01
-4.4538e-01	-2.0201e-01
-8.5666e-01	-2.1517e-01
-2.5875e-01	-1.4610e-01
-1.2405e-01	2.2435e-01
-9.5880e-02	7.4373e-01
1.2649e-01	8.8075e-01
-1.5065e-01	2.8876e-01
-2.8175e-01	-4.7103e-01
