Block size, Scaling factor bitwidth, Quantisation bitwidth, Mean EVM, Compression rate,CR/EVM
600,16,12,"1,845848","1,330377","0,7207402776"
512,13,12,"1,822757","1,330518","0,7299480951"
640,16,12,"1,859573","1,330561","0,7155196381"
600,15,12,"1,845848","1,330561","0,7208399608"
480,12,12,"1,811343","1,330561","0,7345715306"
640,15,12,"1,859573","1,330734","0,7156126702"
512,12,12,"1,822757","1,330734","0,7300665969"
600,14,12,"1,845848","1,330746","0,7209401858"
640,14,12,"1,859573","1,330907","0,7157057023"
600,13,12,"1,845848","1,33093","0,7210398689"
768,16,12,"1,896599","1,331023","0,7017946334"
640,13,12,"1,859573","1,33108","0,7157987344"
800,16,12,"1,908064","1,331115","0,6976259706"
600,12,12,"1,845848","1,331115","0,7211400939"
768,15,12,"1,896599","1,331167","0,7018705588"
800,15,12,"1,908064","1,331253","0,6976982952"
640,12,12,"1,859573","1,331253","0,7158917666"
768,14,12,"1,896599","1,331311","0,7019464842"
800,14,12,"1,908064","1,331392","0,6977711439"
768,13,12,"1,896599","1,331455","0,7020224096"
960,16,12,"1,933683","1,331484","0,6885740838"
800,13,12,"1,908064","1,33153","0,6978434686"
1024,16,12,"1,960343","1,331599","0,6792683729"
960,15,12,"1,933683","1,331599","0,6886335558"
768,12,12,"1,896599","1,331599","0,702098335"
800,12,12,"1,908064","1,331669","0,6979163173"
1024,15,12,"1,960343","1,331708","0,6793239754"
960,14,12,"1,933683","1,331715","0,6886935449"
1024,14,12,"1,960343","1,331816","0,6793790678"
960,13,12,"1,933683","1,33183","0,6887530169"
1200,16,12,"2,012951","1,331853","0,661642037"
1024,13,12,"1,960343","1,331924","0,6794341602"
1280,16,12,"2,022921","1,331946","0,6584270963"
1200,15,12,"2,012951","1,331946","0,6616882378"
960,12,12,"1,933683","1,331946","0,6888130061"
1280,15,12,"2,022921","1,332033","0,6584701034"
1024,12,12,"1,960343","1,332033","0,6794897628"
1200,14,12,"2,012951","1,332038","0,6617339419"
1280,14,12,"2,022921","1,332119","0,6585126162"
1200,13,12,"2,012951","1,332131","0,6617801427"
1536,16,12,"2,068884","1,332177","0,6439109201"
1280,13,12,"2,022921","1,332206","0,6585556233"
1600,16,12,"2,086121","1,332223","0,6386125254"
1200,12,12,"2,012951","1,332223","0,6618258467"
1536,15,12,"2,068884","1,332249","0,6439457215"
1600,15,12,"2,086121","1,332292","0,6386456011"
1280,12,12,"2,022921","1,332292","0,6585981361"
1536,14,12,"2,068884","1,332321","0,6439805228"
1600,14,12,"2,086121","1,332362","0,6386791562"
1536,13,12,"2,068884","1,332394","0,6440158076"
1920,16,12,"2,134105","1,332408","0,6243404144"
1600,13,12,"2,086121","1,332431","0,6387122319"
2048,16,12,"2,159802","1,332466","0,6169389601"
1920,15,12,"2,134105","1,332466","0,624367592"
1536,12,12,"2,068884","1,332466","0,6440506089"
1600,12,12,"2,086121","1,332501","0,638745787"
2048,15,12,"2,159802","1,33252","0,6169639624"
1920,14,12,"2,134105","1,332524","0,6243947697"
2048,14,12,"2,159802","1,332574","0,6169889647"
1920,13,12,"2,134105","1,332581","0,6244214788"
2400,16,12,"2,225316","1,332593","0,5988331545"
2048,13,12,"2,159802","1,332628","0,617013967"
2560,16,12,"2,248726","1,332639","0,5926195544"
2400,15,12,"2,225316","1,332639","0,5988538257"
1920,12,12,"2,134105","1,332639","0,6244486565"
2560,15,12,"2,248726","1,332683","0,592639121"
2048,12,12,"2,159802","1,332683","0,6170394323"
2400,14,12,"2,225316","1,332686","0,5988749463"
2560,14,12,"2,248726","1,332726","0,5926582429"
2400,13,12,"2,225316","1,332732","0,5988956175"
3072,16,12,"2,26553","1,332755","0,5882751497"
2560,13,12,"2,248726","1,332769","0,5926773649"
3200,16,12,"2,273291","1,332778","0,5862768999"
2400,12,12,"2,225316","1,332778","0,5989162887"
3072,15,12,"2,26553","1,332791","0,5882910401"
3200,15,12,"2,273291","1,332813","0,5862922961"
2560,12,12,"2,248726","1,332813","0,5926969315"
3072,14,12,"2,26553","1,332827","0,5883069304"
3200,14,12,"2,273291","1,332847","0,5863072523"
3072,13,12,"2,26553","1,332863","0,5883228207"
3840,16,12,"2,300234","1,332871","0,5794501777"
3200,13,12,"2,273291","1,332882","0,5863226485"
4096,16,12,"2,343263","1,332899","0,5688217669"
3840,15,12,"2,300234","1,332899","0,5794623504"
3072,12,12,"2,26553","1,332899","0,588338711"
3200,12,12,"2,273291","1,332917","0,5863380447"
4096,15,12,"2,343263","1,332927","0,5688337161"
3840,14,12,"2,300234","1,332928","0,5794749578"
4096,14,12,"2,343263","1,332954","0,5688452385"
