Block size, Scaling factor bitwidth, Quantisation bitwidth, Mean EVM, Compression rate,CR/EVM
800,16,13,"0,477663","1,228879","2,5726903696"
768,15,13,"0,474491","1,228923","2,5899816856"
800,15,13,"0,477663","1,228997","2,5729374057"
768,14,13,"0,474491","1,229046","2,5902409108"
800,14,13,"0,477663","1,229115","2,5731844418"
768,13,13,"0,474491","1,229169","2,5905001359"
960,16,13,"0,483914","1,229193","2,5401062999"
800,13,13,"0,477663","1,229233","2,5734314778"
1024,16,13,"0,490277","1,229292","2,507341768"
960,15,13,"0,483914","1,229292","2,5403108817"
1024,15,13,"0,490277","1,229384","2,507529417"
960,14,13,"0,483914","1,22939","2,540513397"
1024,14,13,"0,490277","1,229476","2,5077170661"
960,13,13,"0,483914","1,229489","2,5407179788"
1200,16,13,"0,503624","1,229508","2,4413213032"
1024,13,13,"0,490277","1,229568","2,5079047151"
1280,16,13,"0,50614","1,229587","2,4293416841"
1200,15,13,"0,503624","1,229587","2,4414781663"
1280,15,13,"0,50614","1,229661","2,4294878887"
1200,14,13,"0,503624","1,229666","2,4416350293"
1280,14,13,"0,50614","1,229735","2,4296340933"
1200,13,13,"0,503624","1,229744","2,4417899068"
1536,16,13,"0,517622","1,229784","2,3758341029"
1280,13,13,"0,50614","1,229808","2,4297783222"
1600,16,13,"0,521899","1,229823","2,3564386979"
1536,15,13,"0,517622","1,229845","2,3759519495"
1600,15,13,"0,521899","1,229882","2,3565517466"
1536,14,13,"0,517622","1,229907","2,376071728"
1600,14,13,"0,521899","1,229941","2,3566647953"
1536,13,13,"0,517622","1,229968","2,3761895746"
1920,16,13,"0,534252","1,229981","2,3022487515"
1600,13,13,"0,521899","1,23","2,356777844"
2048,16,13,"0,540519","1,23003","2,2756461845"
1920,15,13,"0,534252","1,23003","2,3023404685"
2048,15,13,"0,540519","1,230076","2,2757312879"
1920,14,13,"0,534252","1,230079","2,3024321856"
2048,14,13,"0,540519","1,230122","2,2758163913"
1920,13,13,"0,534252","1,230129","2,3025257744"
2400,16,13,"0,556889","1,230138","2,2089464866"
2048,13,13,"0,540519","1,230169","2,2759033447"
2560,16,13,"0,562577","1,230178","2,1866837784"
2400,15,13,"0,556889","1,230178","2,2090183142"
2560,15,13,"0,562577","1,230215","2,1867495472"
2400,14,13,"0,556889","1,230217","2,2090883462"
2560,14,13,"0,562577","1,230252","2,1868153159"
2400,13,13,"0,556889","1,230257","2,2091601738"
3072,16,13,"0,566833","1,230276","2,1704382067"
2560,13,13,"0,562577","1,230289","2,1868810847"
3200,16,13,"0,568682","1,230296","2,1634164612"
3072,15,13,"0,566833","1,230307","2,1704928965"
3200,15,13,"0,568682","1,230326","2,1634692148"
3072,14,13,"0,566833","1,230338","2,1705475863"
3200,14,13,"0,568682","1,230355","2,1635202099"
3072,13,13,"0,566833","1,230369","2,1706022762"
3840,16,13,"0,575597","1,230375","2,1375632604"
3200,13,13,"0,568682","1,230385","2,1635729634"
4096,16,13,"0,586232","1,2304","2,0988277678"
3840,15,13,"0,575597","1,2304","2,1376066936"
4096,15,13,"0,586232","1,230423","2,0988670015"
3840,14,13,"0,575597","1,230424","2,1376483894"
4096,14,13,"0,586232","1,230446","2,0989062351"
3840,13,13,"0,575597","1,230449","2,1376918226"
4800,16,13,"0,595878","1,230454","2,0649428239"
4096,13,13,"0,586232","1,230469","2,0989454687"
5120,16,13,"0,600798","1,230473","2,0480644077"
4800,15,13,"0,595878","1,230473","2,0649747096"
5120,15,13,"0,600798","1,230492","2,0480960323"
4800,14,13,"0,595878","1,230493","2,0650082735"
5120,14,13,"0,600798","1,23051","2,0481259924"
4800,13,13,"0,595878","1,230513","2,0650418374"
6144,16,13,"0,5919","1,230523","2,0789373205"
5120,13,13,"0,600798","1,230529","2,048157617"
6400,16,13,"0,60353","1,230533","2,0388928471"
6144,15,13,"0,5919","1,230538","2,0789626626"
6400,15,13,"0,60353","1,230547","2,0389160439"
6144,14,13,"0,5919","1,230554","2,0789896942"
6400,14,13,"0,60353","1,230562","2,0389408977"
6144,13,13,"0,5919","1,230569","2,0790150363"
7680,16,13,"0,614677","1,230572","2,0019815285"
6400,13,13,"0,60353","1,230577","2,0389657515"
7680,15,13,"0,614677","1,230584","2,002001051"
7680,14,13,"0,614677","1,230597","2,0020222003"
7680,13,13,"0,614677","1,230609","2,0020417227"
9600,16,13,"0,618715","1,230611","1,9889787705"
10240,16,13,"0,624982","1,230621","1,9690503086"
9600,15,13,"0,618715","1,230621","1,988994933"
10240,15,13,"0,624982","1,230631","1,9690663091"
9600,14,13,"0,618715","1,230631","1,9890110956"
10240,14,13,"0,624982","1,23064","1,9690807095"
9600,13,13,"0,618715","1,230641","1,9890272581"
12288,16,13,"0,624983","1,230646","1,9690871592"
10240,13,13,"0,624982","1,230649","1,9690951099"
12800,16,13,"0,624978","1,230651","1,9691109127"
12288,15,13,"0,624983","1,230654","1,9690999595"
12800,15,13,"0,624978","1,230658","1,9691221131"
12288,14,13,"0,624983","1,230661","1,9691111598"
12800,14,13,"0,624978","1,230666","1,9691349135"
12288,13,13,"0,624983","1,230669","1,9691239602"
15360,16,13,"0,624978","1,230671","1,9691429138"
12800,13,13,"0,624978","1,230673","1,9691461139"
15360,15,13,"0,624978","1,230677","1,9691525142"
15360,14,13,"0,624978","1,230683","1,9691621145"
15360,13,13,"0,624978","1,230689","1,9691717148"
19200,16,13,"0,624974","1,23069","1,9691859181"
20480,16,13,"0,624977","1,230695","1,969184466"
19200,15,13,"0,624974","1,230695","1,9691939185"
20480,15,13,"0,624977","1,2307","1,9691924663"
19200,14,13,"0,624974","1,2307","1,9692019188"
20480,14,13,"0,624977","1,230705","1,9692004666"
19200,13,13,"0,624974","1,230705","1,9692099191"
20480,13,13,"0,624977","1,230709","1,9692068668"
25600,16,13,"0,624974","1,23071","1,9692179195"
25600,15,13,"0,624974","1,230714","1,9692243197"
25600,14,13,"0,624974","1,230717","1,9692291199"
30720,16,13,"0,624974","1,23072","1,9692339201"
25600,13,13,"0,624974","1,230721","1,9692355202"
30720,15,13,"0,624974","1,230723","1,9692387203"
30720,14,13,"0,624974","1,230726","1,9692435205"
30720,13,13,"0,624974","1,230729","1,9692483207"
38400,16,13,"0,624971","1,23073","1,9692593736"
38400,15,13,"0,624971","1,230732","1,9692625738"
38400,14,13,"0,624971","1,230735","1,969267374"
38400,13,13,"0,624971","1,230737","1,9692705742"
51200,16,13,"0,624969","1,23074","1,9692816764"
51200,15,13,"0,624969","1,230741","1,9692832765"
51200,14,13,"0,624969","1,230743","1,9692864766"
51200,13,13,"0,624969","1,230745","1,9692896768"
61440,16,13,"0,624966","1,230745","1,9692991299"
61440,15,13,"0,624966","1,230746","1,96930073"
61440,14,13,"0,624966","1,230748","1,9693039301"
